Év,Város,Lakástípus,Lakásár (EUR/m²),Bérleti díj (EUR/hó),Nettó jövedelem (EUR/hó),EUR/RON árfolyam,Munkanélküliségi ráta (%)
2010-Q4,Temesvár,Használt lakás,622.17,147.43,358.71,4.174,7.65
2010-Q4,Brassó,Új lakás,817.88,191.75,342.82,4.174,7.57
2010-Q4,Brassó,Felújított lakás,753.63,145.86,342.82,4.174,7.57
2010-Q4,Brassó,Használt lakás,620.26,123.71,342.82,4.174,7.57
2010-Q4,Jászvásár,Új lakás,847.58,189.69,356.84,4.174,7.32
2010-Q4,Jászvásár,Felújított lakás,715.34,172.4,356.84,4.174,7.32
2010-Q4,Jászvásár,Használt lakás,650.86,136.15,356.84,4.174,7.32
2010-Q4,Konstanca,Új lakás,824.9,170.21,359.53,4.174,7.69
2010-Q4,Konstanca,Felújított lakás,752.19,158.45,359.53,4.174,7.69
2010-Q4,Konstanca,Használt lakás,648.0,133.91,359.53,4.174,7.69
2010-Q4,Craiova,Új lakás,861.48,184.05,335.96,4.174,7.53
2010-Q4,Craiova,Felújított lakás,756.86,145.22,335.96,4.174,7.53
2010-Q4,Craiova,Használt lakás,606.88,142.98,335.96,4.174,7.53
2010-Q4,Galac,Új lakás,836.31,190.02,352.68,4.174,7.41
2010-Q4,Galac,Felújított lakás,758.15,164.3,352.68,4.174,7.41
2010-Q4,Galac,Használt lakás,637.92,132.91,352.68,4.174,7.41
2010-Q4,Ploiești,Új lakás,859.99,166.52,358.37,4.174,7.31
2010-Q4,Ploiești,Felújított lakás,759.9,169.4,358.37,4.174,7.31
2010-Q4,Ploiești,Használt lakás,643.92,142.0,358.37,4.174,7.31
2010-Q4,Nagyvárad,Új lakás,852.6,183.94,337.76,4.174,7.65
2010-Q4,Nagyvárad,Felújított lakás,750.83,170.49,337.76,4.174,7.65
2010-Q4,Nagyvárad,Használt lakás,633.78,143.36,337.76,4.174,7.65
2010-Q4,Arad,Új lakás,826.73,182.47,361.84,4.174,7.53
2010-Q4,Arad,Felújított lakás,738.19,172.33,361.84,4.174,7.53
2010-Q4,Arad,Használt lakás,628.9,144.22,361.84,4.174,7.53
2010-Q4,Nagyszeben,Új lakás,840.22,175.11,360.37,4.174,7.86
2010-Q4,Nagyszeben,Felújított lakás,750.72,148.31,360.37,4.174,7.86
2010-Q4,Nagyszeben,Használt lakás,610.22,133.82,360.37,4.174,7.86
2010-Q4,Târgu Mureș,Új lakás,860.82,194.61,352.05,4.174,7.45
2010-Q4,Târgu Mureș,Felújított lakás,718.83,168.52,352.05,4.174,7.45
2010-Q4,Târgu Mureș,Használt lakás,615.45,129.44,352.05,4.174,7.45
2011-Q1,Bukarest,Új lakás,952.06,204.48,395.13,4.22,7.1
2011-Q1,Bukarest,Felújított lakás,811.1,168.83,395.13,4.22,7.1
2011-Q1,Bukarest,Használt lakás,688.84,168.51,395.13,4.22,7.1
2011-Q1,Kolozsvár,Új lakás,926.74,200.96,374.68,4.22,7.54
2011-Q1,Kolozsvár,Felújított lakás,827.11,193.54,374.68,4.22,7.54
2011-Q1,Kolozsvár,Használt lakás,724.82,163.24,374.68,4.22,7.54
2011-Q1,Temesvár,Új lakás,925.95,224.27,395.52,4.22,7.62
2011-Q1,Temesvár,Felújított lakás,820.6,184.58,395.52,4.22,7.62
2011-Q1,Temesvár,Használt lakás,680.88,159.05,395.52,4.22,7.62
2011-Q1,Brassó,Új lakás,927.01,207.8,382.3,4.22,7.07
2011-Q1,Brassó,Felújított lakás,814.36,196.08,382.3,4.22,7.07
2011-Q1,Brassó,Használt lakás,711.53,155.1,382.3,4.22,7.07
2011-Q1,Jászvásár,Új lakás,957.86,220.41,398.39,4.22,7.52
2011-Q1,Jászvásár,Felújított lakás,813.64,193.8,398.39,4.22,7.52
2011-Q1,Jászvásár,Használt lakás,701.54,149.99,398.39,4.22,7.52
2011-Q1,Konstanca,Új lakás,921.04,210.52,384.22,4.22,7.35
2011-Q1,Konstanca,Felújított lakás,821.57,190.59,384.22,4.22,7.35
2011-Q1,Konstanca,Használt lakás,707.41,147.33,384.22,4.22,7.35
2011-Q1,Craiova,Új lakás,956.88,203.7,383.9,4.22,7.08
2011-Q1,Craiova,Felújított lakás,834.99,186.59,383.9,4.22,7.08
2011-Q1,Craiova,Használt lakás,679.72,161.03,383.9,4.22,7.08
2011-Q1,Galac,Új lakás,920.96,195.69,382.3,4.22,6.99
2011-Q1,Galac,Felújított lakás,801.79,185.37,382.3,4.22,6.99
2011-Q1,Galac,Használt lakás,706.42,147.66,382.3,4.22,6.99
2011-Q1,Ploiești,Új lakás,921.27,210.14,402.09,4.22,7.4
2011-Q1,Ploiești,Felújított lakás,810.42,176.8,402.09,4.22,7.4
2011-Q1,Ploiești,Használt lakás,677.08,148.65,402.09,4.22,7.4
2011-Q1,Nagyvárad,Új lakás,941.64,213.9,406.09,4.22,7.15
2011-Q1,Nagyvárad,Felújított lakás,792.55,170.44,406.09,4.22,7.15
2011-Q1,Nagyvárad,Használt lakás,712.14,158.68,406.09,4.22,7.15
2011-Q1,Arad,Új lakás,923.55,220.45,400.37,4.22,7.38
2011-Q1,Arad,Felújított lakás,816.47,184.03,400.37,4.22,7.38
2011-Q1,Arad,Használt lakás,713.03,156.09,400.37,4.22,7.38
2011-Q1,Nagyszeben,Új lakás,937.15,216.84,406.54,4.22,7.51
2011-Q1,Nagyszeben,Felújított lakás,839.46,187.06,406.54,4.22,7.51
2011-Q1,Nagyszeben,Használt lakás,698.9,146.96,406.54,4.22,7.51
2011-Q1,Târgu Mureș,Új lakás,922.51,221.91,382.24,4.22,7.29
2011-Q1,Târgu Mureș,Felújított lakás,792.99,195.35,382.24,4.22,7.29
2011-Q1,Târgu Mureș,Használt lakás,714.92,166.27,382.24,4.22,7.29
2011-Q2,Bukarest,Új lakás,950.83,221.0,385.11,4.276,7.49
2011-Q2,Bukarest,Felújított lakás,813.15,183.01,385.11,4.276,7.49
2011-Q2,Bukarest,Használt lakás,677.98,151.58,385.11,4.276,7.49
2011-Q2,Kolozsvár,Új lakás,921.08,212.42,395.47,4.276,7.04
2011-Q2,Kolozsvár,Felújított lakás,835.33,171.04,395.47,4.276,7.04
2011-Q2,Kolozsvár,Használt lakás,685.06,171.25,395.47,4.276,7.04
2011-Q2,Temesvár,Új lakás,909.77,206.89,411.82,4.276,7.08
2011-Q2,Temesvár,Felújított lakás,815.32,197.87,411.82,4.276,7.08
2011-Q2,Temesvár,Használt lakás,708.52,169.01,411.82,4.276,7.08
2011-Q2,Brassó,Új lakás,914.05,209.94,393.78,4.276,7.21
2011-Q2,Brassó,Felújított lakás,830.99,197.8,393.78,4.276,7.21
2011-Q2,Brassó,Használt lakás,692.99,164.91,393.78,4.276,7.21
2011-Q2,Jászvásár,Új lakás,931.82,209.82,374.84,4.276,7.47
2011-Q2,Jászvásár,Felújított lakás,800.08,190.25,374.84,4.276,7.47
2011-Q2,Jászvásár,Használt lakás,697.01,145.04,374.84,4.276,7.47
2011-Q2,Konstanca,Új lakás,952.89,218.91,380.0,4.276,7.45
2011-Q2,Konstanca,Felújított lakás,811.97,192.94,380.0,4.276,7.45
2011-Q2,Konstanca,Használt lakás,717.1,161.01,380.0,4.276,7.45
2011-Q2,Craiova,Új lakás,914.81,206.02,379.54,4.276,6.92
2011-Q2,Craiova,Felújított lakás,834.6,186.82,379.54,4.276,6.92
2011-Q2,Craiova,Használt lakás,678.45,169.84,379.54,4.276,6.92
2011-Q2,Galac,Új lakás,920.55,196.63,398.93,4.276,7.52
2011-Q2,Galac,Felújított lakás,835.15,189.64,398.93,4.276,7.52
2011-Q2,Galac,Használt lakás,717.73,144.96,398.93,4.276,7.52
2011-Q2,Ploiești,Új lakás,934.05,207.92,396.24,4.276,7.62
2011-Q2,Ploiești,Felújított lakás,802.24,191.53,396.24,4.276,7.62
2011-Q2,Ploiești,Használt lakás,711.64,151.49,396.24,4.276,7.62
2011-Q2,Nagyvárad,Új lakás,944.2,222.61,391.78,4.276,7.2
2011-Q2,Nagyvárad,Felújított lakás,808.7,194.02,391.78,4.276,7.2
2011-Q2,Nagyvárad,Használt lakás,696.56,166.8,391.78,4.276,7.2
2011-Q2,Arad,Új lakás,942.23,211.56,388.94,4.276,7.47
2011-Q2,Arad,Felújított lakás,792.83,195.4,388.94,4.276,7.47
2011-Q2,Arad,Használt lakás,695.23,144.64,388.94,4.276,7.47
2011-Q2,Nagyszeben,Új lakás,935.09,201.39,406.54,4.276,6.95
2011-Q2,Nagyszeben,Felújított lakás,816.95,184.38,406.54,4.276,6.95
2011-Q2,Nagyszeben,Használt lakás,722.53,167.7,406.54,4.276,6.95
2011-Q2,Târgu Mureș,Új lakás,954.1,196.6,391.59,4.276,7.01
2011-Q2,Târgu Mureș,Felújított lakás,838.3,168.8,391.59,4.276,7.01
2011-Q2,Târgu Mureș,Használt lakás,699.06,165.76,391.59,4.276,7.01
2011-Q3,Bukarest,Új lakás,952.83,213.32,392.02,4.266,7.42
2011-Q3,Bukarest,Felújított lakás,810.47,186.98,392.02,4.266,7.42
2011-Q3,Bukarest,Használt lakás,713.39,159.97,392.02,4.266,7.42
2011-Q3,Kolozsvár,Új lakás,913.53,202.84,403.67,4.266,7.51
2011-Q3,Kolozsvár,Felújított lakás,811.5,188.49,403.67,4.266,7.51
2011-Q3,Kolozsvár,Használt lakás,724.71,166.52,403.67,4.266,7.51
2011-Q3,Temesvár,Új lakás,930.63,208.45,396.42,4.266,7.23
2011-Q3,Temesvár,Felújított lakás,835.04,184.4,396.42,4.266,7.23
2011-Q3,Temesvár,Használt lakás,683.0,158.66,396.42,4.266,7.23
2011-Q3,Brassó,Új lakás,941.01,197.01,373.31,4.266,7.24
2011-Q3,Brassó,Felújított lakás,828.66,175.56,373.31,4.266,7.24
2011-Q3,Brassó,Használt lakás,718.16,160.83,373.31,4.266,7.24
2011-Q3,Jászvásár,Új lakás,930.9,196.86,378.43,4.266,7.15
2011-Q3,Jászvásár,Felújított lakás,829.18,193.29,378.43,4.266,7.15
2011-Q3,Jászvásár,Használt lakás,718.79,164.16,378.43,4.266,7.15
2011-Q3,Konstanca,Új lakás,929.2,210.55,389.84,4.266,7.01
2011-Q3,Konstanca,Felújított lakás,836.31,194.7,389.84,4.266,7.01
2011-Q3,Konstanca,Használt lakás,683.15,166.14,389.84,4.266,7.01
2011-Q3,Craiova,Új lakás,925.7,213.42,384.47,4.266,7.53
2011-Q3,Craiova,Felújított lakás,800.29,182.3,384.47,4.266,7.53
2011-Q3,Craiova,Használt lakás,698.81,158.27,384.47,4.266,7.53
2011-Q3,Galac,Új lakás,909.52,200.22,377.2,4.266,7.14
2011-Q3,Galac,Felújított lakás,831.1,170.97,377.2,4.266,7.14
2011-Q3,Galac,Használt lakás,716.89,165.08,377.2,4.266,7.14
2011-Q3,Ploiești,Új lakás,956.45,224.45,378.49,4.266,7.16
2011-Q3,Ploiești,Felújított lakás,810.77,170.82,378.49,4.266,7.16
2011-Q3,Ploiești,Használt lakás,707.64,153.19,378.49,4.266,7.16
2011-Q3,Nagyvárad,Új lakás,933.68,210.31,392.0,4.266,7.65
2011-Q3,Nagyvárad,Felújított lakás,803.24,173.13,392.0,4.266,7.65
2011-Q3,Nagyvárad,Használt lakás,720.84,154.01,392.0,4.266,7.65
2011-Q3,Arad,Új lakás,944.64,218.43,402.01,4.266,7.15
2011-Q3,Arad,Felújított lakás,798.23,179.21,402.01,4.266,7.15
2011-Q3,Arad,Használt lakás,697.71,154.67,402.01,4.266,7.15
2011-Q3,Nagyszeben,Új lakás,934.21,207.73,412.55,4.266,7.35
2011-Q3,Nagyszeben,Felújított lakás,795.55,187.36,412.55,4.266,7.35
2011-Q3,Nagyszeben,Használt lakás,689.97,149.48,412.55,4.266,7.35
2011-Q3,Târgu Mureș,Új lakás,941.56,222.58,373.7,4.266,7.3
2011-Q3,Târgu Mureș,Felújított lakás,825.27,186.26,373.7,4.266,7.3
2011-Q3,Târgu Mureș,Használt lakás,677.45,147.52,373.7,4.266,7.3
2011-Q4,Bukarest,Új lakás,944.2,209.24,397.52,4.28,7.52
2011-Q4,Bukarest,Felújított lakás,812.62,188.89,397.52,4.28,7.52
2011-Q4,Bukarest,Használt lakás,699.71,143.67,397.52,4.28,7.52
2011-Q4,Kolozsvár,Új lakás,916.23,215.69,388.43,4.28,7.54
2011-Q4,Kolozsvár,Felújított lakás,818.19,172.33,388.43,4.28,7.54
2011-Q4,Kolozsvár,Használt lakás,715.3,165.06,388.43,4.28,7.54
2011-Q4,Temesvár,Új lakás,915.34,216.52,399.13,4.28,7.55
2011-Q4,Temesvár,Felújított lakás,794.73,194.97,399.13,4.28,7.55
2011-Q4,Temesvár,Használt lakás,712.11,152.09,399.13,4.28,7.55
2011-Q4,Brassó,Új lakás,913.48,215.41,405.21,4.28,7.46
2011-Q4,Brassó,Felújított lakás,795.68,193.78,405.21,4.28,7.46
2011-Q4,Brassó,Használt lakás,679.69,155.86,405.21,4.28,7.46
2011-Q4,Jászvásár,Új lakás,951.9,214.18,387.9,4.28,7.23
2011-Q4,Jászvásár,Felújított lakás,804.49,174.29,387.9,4.28,7.23
2011-Q4,Jászvásár,Használt lakás,716.46,144.26,387.9,4.28,7.23
2011-Q4,Konstanca,Új lakás,921.55,207.46,407.56,4.28,6.95
2011-Q4,Konstanca,Felújított lakás,826.98,189.45,407.56,4.28,6.95
2011-Q4,Konstanca,Használt lakás,697.4,145.98,407.56,4.28,6.95
2011-Q4,Craiova,Új lakás,949.96,216.33,384.99,4.28,7.14
2011-Q4,Craiova,Felújított lakás,798.58,172.13,384.99,4.28,7.14
2011-Q4,Craiova,Használt lakás,682.45,165.37,384.99,4.28,7.14
2011-Q4,Galac,Új lakás,955.63,209.18,412.53,4.28,7.29
2011-Q4,Galac,Felújított lakás,822.41,195.45,412.53,4.28,7.29
2011-Q4,Galac,Használt lakás,713.92,154.29,412.53,4.28,7.29
2011-Q4,Ploiești,Új lakás,910.08,209.43,400.68,4.28,6.86
2011-Q4,Ploiești,Felújított lakás,793.79,172.19,400.68,4.28,6.86
2011-Q4,Ploiești,Használt lakás,701.47,162.12,400.68,4.28,6.86
2011-Q4,Nagyvárad,Új lakás,919.07,222.82,404.75,4.28,7.16
2011-Q4,Nagyvárad,Felújított lakás,816.39,186.17,404.75,4.28,7.16
2011-Q4,Nagyvárad,Használt lakás,695.74,157.18,404.75,4.28,7.16
2011-Q4,Arad,Új lakás,920.74,220.71,400.18,4.28,7.01
2011-Q4,Arad,Felújított lakás,824.25,198.55,400.18,4.28,7.01
2011-Q4,Arad,Használt lakás,689.33,158.64,400.18,4.28,7.01
2011-Q4,Nagyszeben,Új lakás,935.31,197.72,393.6,4.28,7.0
2011-Q4,Nagyszeben,Felújított lakás,839.28,179.03,393.6,4.28,7.0
2011-Q4,Nagyszeben,Használt lakás,681.51,156.92,393.6,4.28,7.0
2011-Q4,Târgu Mureș,Új lakás,943.39,212.21,402.65,4.28,7.02
2011-Q4,Târgu Mureș,Felújított lakás,796.26,184.98,402.65,4.28,7.02
2011-Q4,Târgu Mureș,Használt lakás,679.18,150.13,402.65,4.28,7.02
2012-Q1,Bukarest,Új lakás,1029.78,238.68,440.96,4.26,6.92
2012-Q1,Bukarest,Felújított lakás,882.18,200.37,440.96,4.26,6.92
2012-Q1,Bukarest,Használt lakás,762.99,179.1,440.96,4.26,6.92
2012-Q1,Kolozsvár,Új lakás,1043.06,227.09,421.92,4.26,7.39
2012-Q1,Kolozsvár,Felújított lakás,885.2,196.64,421.92,4.26,7.39
2012-Q1,Kolozsvár,Használt lakás,785.08,190.1,421.92,4.26,7.39
2012-Q1,Temesvár,Új lakás,1035.97,229.86,420.47,4.26,6.94
2012-Q1,Temesvár,Felújított lakás,908.2,224.91,420.47,4.26,6.94
2012-Q1,Temesvár,Használt lakás,765.66,179.48,420.47,4.26,6.94
2012-Q1,Brassó,Új lakás,1047.45,241.11,448.49,4.26,7.39
2012-Q1,Brassó,Felújított lakás,918.38,207.27,448.49,4.26,7.39
2012-Q1,Brassó,Használt lakás,795.28,178.44,448.49,4.26,7.39
2012-Q1,Jászvásár,Új lakás,1028.66,235.08,429.66,4.26,6.81
2012-Q1,Jászvásár,Felújított lakás,916.91,216.04,429.66,4.26,6.81
2012-Q1,Jászvásár,Használt lakás,768.42,172.76,429.66,4.26,6.81
2012-Q1,Konstanca,Új lakás,1011.1,251.74,449.66,4.26,6.9
2012-Q1,Konstanca,Felújított lakás,906.12,195.5,449.66,4.26,6.9
2012-Q1,Konstanca,Használt lakás,761.88,183.21,449.66,4.26,6.9
2012-Q1,Craiova,Új lakás,1010.68,227.89,445.89,4.26,6.87
2012-Q1,Craiova,Felújított lakás,901.66,208.74,445.89,4.26,6.87
2012-Q1,Craiova,Használt lakás,750.81,181.52,445.89,4.26,6.87
2012-Q1,Galac,Új lakás,1037.55,250.66,418.25,4.26,6.67
2012-Q1,Galac,Felújított lakás,900.75,202.77,418.25,4.26,6.67
2012-Q1,Galac,Használt lakás,774.82,183.7,418.25,4.26,6.67
2012-Q1,Ploiești,Új lakás,1046.26,254.0,427.26,4.26,6.75
2012-Q1,Ploiești,Felújított lakás,876.37,197.82,427.26,4.26,6.75
2012-Q1,Ploiești,Használt lakás,783.28,190.99,427.26,4.26,6.75
2012-Q1,Nagyvárad,Új lakás,1020.77,235.89,452.33,4.26,7.04
2012-Q1,Nagyvárad,Felújított lakás,918.65,200.28,452.33,4.26,7.04
2012-Q1,Nagyvárad,Használt lakás,760.63,172.95,452.33,4.26,7.04
2012-Q1,Arad,Új lakás,1042.3,228.42,433.72,4.26,6.84
