Időszak,Város,Lakásár (EUR/m²),Bérleti díj (EUR/hó),Jövedelem (EUR/hó),Lakás típusa,Munkanélküliségi ráta (%)
2010 Q2,Arad,786.55,359.84,539.26,Új lakás,4.94
2010 Q2,Arad,1033.6,254.98,646.75,Új lakás,5.13
2010 Q2,Arad,1013.13,329.03,528.86,Új lakás,5.22
2010 Q2,Bacău,905.14,318.86,612.92,Új lakás,6.35
2010 Q2,Bacău,1191.18,279.55,440.62,Felújított lakás,4.87
2010 Q2,Bacău,1006.69,343.77,398.45,Használt lakás,6.53
2010 Q2,Bacău,981.04,282.92,439.27,Felújított lakás,3.35
2010 Q2,Bacău,1098.78,302.93,422.6,Használt lakás,3.7
2010 Q2,Târgu Mureș,959.71,366.76,484.42,Felújított lakás,3.5
2010 Q2,Târgu Mureș,970.51,289.09,338.19,Használt lakás,4.95
2010 Q2,Târgu Mureș,972.29,327.85,610.94,Új lakás,6.13
2010 Q2,Târgu Mureș,967.73,255.74,654.4,Új lakás,5.06
2010 Q2,Târgu Mureș,1001.67,299.03,511.89,Felújított lakás,4.86
2010 Q2,Baia Mare,931.16,278.13,498.03,Használt lakás,4.46
2010 Q2,Baia Mare,914.46,304.26,484.7,Felújított lakás,6.5
2010 Q2,Baia Mare,681.88,343.66,574.77,Felújított lakás,2.93
2010 Q2,Baia Mare,958.88,285.14,415.55,Használt lakás,4.22
2010 Q2,Baia Mare,866.73,370.09,556.14,Új lakás,6.27
2010 Q2,Satu Mare,1086.6,254.84,468.53,Használt lakás,5.49
2010 Q2,Satu Mare,853.34,328.52,485.58,Felújított lakás,4.63
2010 Q2,Satu Mare,1085.32,317.77,478.34,Új lakás,6.16
2010 Q2,Satu Mare,870.27,324.64,535.59,Használt lakás,4.69
2010 Q2,Satu Mare,1039.14,249.96,555.44,Új lakás,4.82
2010 Q2,Botoșani,937.27,341.96,457.74,Használt lakás,3.59
2010 Q2,Botoșani,813.2,324.24,423.17,Új lakás,6.75
2010 Q2,Botoșani,750.17,367.86,512.66,Használt lakás,4.9
2010 Q2,Botoșani,934.61,315.97,497.74,Használt lakás,6.1
2010 Q2,Botoșani,1013.71,306.01,478.18,Új lakás,4.94
2010 Q2,Pitești,1036.94,231.59,419.11,Felújított lakás,5.74
2010 Q2,Pitești,1020.5,292.64,501.11,Használt lakás,5.35
2010 Q2,Pitești,935.23,268.87,511.75,Felújított lakás,4.02
2010 Q2,Pitești,1048.99,231.9,561.75,Használt lakás,5.47
2010 Q2,Pitești,1030.72,339.31,599.93,Új lakás,6.01
2010 Q2,Craiova,779.1,248.82,462.51,Új lakás,5.03
2010 Q2,Craiova,1062.12,270.97,511.21,Használt lakás,4.24
2010 Q2,Craiova,926.62,243.73,444.61,Felújított lakás,3.65
2010 Q2,Craiova,882.9,342.15,443.04,Használt lakás,7.63
2010 Q2,Craiova,1059.2,307.39,448.5,Új lakás,5.7
2010 Q2,Reșița,930.92,304.88,653.61,Használt lakás,4.9
2010 Q2,Reșița,1137.91,271.87,497.9,Felújított lakás,6.77
2010 Q2,Reșița,924.76,372.5,542.47,Használt lakás,4.44
2010 Q2,Reșița,1075.89,338.9,537.31,Használt lakás,3.43
2010 Q2,Reșița,912.74,290.1,495.53,Új lakás,5.62
2010 Q2,Slatina,1021.32,246.59,522.81,Használt lakás,5.61
2010 Q2,Slatina,1067.17,343.23,550.04,Új lakás,5.46
2010 Q2,Slatina,991.58,233.56,525.78,Felújított lakás,5.21
2010 Q2,Slatina,1032.59,248.93,435.14,Használt lakás,6.05
2010 Q2,Slatina,995.25,327.26,501.7,Használt lakás,5.03
2010 Q3,București,1112.59,279.36,505.77,Felújított lakás,4.54
2010 Q3,București,947.86,287.63,513.33,Felújított lakás,4.52
2010 Q3,București,1150.69,264.22,488.79,Használt lakás,4.56
2010 Q3,București,1173.64,307.86,561.91,Új lakás,3.51
2010 Q3,București,1032.05,335.59,504.94,Használt lakás,6.07
2010 Q3,Cluj-Napoca,937.93,356.37,637.93,Használt lakás,4.64
2010 Q3,Cluj-Napoca,946.54,358.14,594.77,Felújított lakás,4.48
2010 Q3,Cluj-Napoca,949.58,288.73,419.33,Használt lakás,4.08
2010 Q3,Cluj-Napoca,879.5,269.29,497.92,Használt lakás,5.23
2010 Q3,Cluj-Napoca,1186.06,260.07,559.06,Használt lakás,4.79
2010 Q3,Timișoara,994.06,326.99,432.64,Használt lakás,5.38
2010 Q3,Timișoara,1019.97,319.7,517.35,Felújított lakás,7.46
2010 Q3,Timișoara,923.47,278.76,462.61,Új lakás,4.44
2010 Q3,Timișoara,923.51,347.56,585.23,Felújított lakás,4.43
2010 Q3,Timișoara,900.12,318.86,466.87,Használt lakás,5.63
2010 Q3,Iași,1024.35,239.37,592.85,Új lakás,6.8
2010 Q3,Iași,926.47,284.49,517.15,Új lakás,5.33
2010 Q3,Iași,1079.03,380.41,489.38,Használt lakás,4.2
2010 Q3,Iași,834.48,270.76,498.01,Új lakás,6.79
2010 Q3,Iași,937.89,308.95,499.01,Új lakás,6.19
2010 Q3,Brașov,1303.23,278.77,470.63,Használt lakás,6.04
2010 Q3,Brașov,1081.83,373.87,535.04,Új lakás,4.64
2010 Q3,Brașov,1070.88,344.35,549.23,Felújított lakás,5.51
2010 Q3,Brașov,1128.0,346.77,582.93,Új lakás,5.65
2010 Q3,Brașov,979.95,305.87,572.39,Felújított lakás,4.18
2010 Q3,Constanța,1044.24,284.27,501.72,Használt lakás,6.28
2010 Q3,Constanța,1022.93,301.86,418.41,Felújított lakás,5.75
2010 Q3,Constanța,1077.46,386.53,481.53,Felújított lakás,5.22
2010 Q3,Constanța,1029.93,363.1,494.28,Új lakás,5.28
2010 Q3,Constanța,1072.95,307.46,473.21,Új lakás,5.19
2010 Q3,Sibiu,1128.84,258.94,507.98,Felújított lakás,4.3
2010 Q3,Sibiu,1143.41,239.07,466.46,Használt lakás,5.38
2010 Q3,Sibiu,1187.86,297.37,466.69,Új lakás,6.88
2010 Q3,Sibiu,826.24,212.05,526.4,Új lakás,4.5
2010 Q3,Sibiu,877.45,328.33,514.63,Új lakás,4.44
2010 Q3,Oradea,846.36,334.9,539.01,Használt lakás,4.9
2010 Q3,Oradea,1221.6,257.2,408.47,Felújított lakás,4.31
2010 Q3,Oradea,994.53,309.73,485.53,Felújított lakás,5.35
2010 Q3,Oradea,849.82,357.75,495.07,Új lakás,6.12
2010 Q3,Oradea,1041.13,318.27,534.19,Felújított lakás,5.45
2010 Q3,Galați,1077.13,353.17,511.79,Felújított lakás,5.71
2010 Q3,Galați,989.23,357.6,459.42,Új lakás,6.8
2010 Q3,Galați,995.18,242.77,507.69,Új lakás,4.32
2010 Q3,Galați,1100.88,273.9,473.23,Új lakás,3.11
2010 Q3,Galați,945.72,203.04,404.97,Felújított lakás,5.76
2010 Q3,Ploiești,1094.3,317.02,441.98,Felújított lakás,4.95
2010 Q3,Ploiești,999.57,253.67,590.2,Használt lakás,5.88
2010 Q3,Ploiești,973.48,301.08,512.5,Használt lakás,2.96
2010 Q3,Ploiești,970.34,272.72,439.9,Felújított lakás,4.72
2010 Q3,Ploiești,1215.72,325.63,465.73,Felújított lakás,5.57
2010 Q3,Arad,1167.92,336.99,503.58,Felújított lakás,4.35
2010 Q3,Arad,1083.79,315.74,553.71,Használt lakás,5.64
2010 Q3,Arad,1125.95,278.59,579.04,Felújított lakás,5.2
2010 Q3,Arad,1249.03,272.43,604.16,Használt lakás,5.2
2010 Q3,Arad,921.83,280.64,480.78,Új lakás,5.42
2010 Q3,Bacău,1062.74,277.05,498.54,Új lakás,7.14
2010 Q3,Bacău,1207.31,317.45,502.28,Használt lakás,5.12
2010 Q3,Bacău,1073.62,259.09,484.56,Új lakás,3.33
2010 Q3,Bacău,1047.91,325.89,471.01,Használt lakás,6.57
2010 Q3,Bacău,852.91,241.43,513.47,Új lakás,6.05
2010 Q3,Târgu Mureș,1202.07,281.64,564.72,Használt lakás,4.96
2010 Q3,Târgu Mureș,979.28,335.35,539.14,Felújított lakás,3.42
2010 Q3,Târgu Mureș,1177.18,355.2,462.47,Új lakás,5.4
2010 Q3,Târgu Mureș,1059.28,310.43,466.98,Felújított lakás,4.33
2010 Q3,Târgu Mureș,996.93,346.91,532.62,Új lakás,4.63
2010 Q3,Baia Mare,1092.6,186.06,568.93,Új lakás,3.26
2010 Q3,Baia Mare,956.51,255.21,422.32,Használt lakás,6.16
2010 Q3,Baia Mare,943.88,313.86,497.18,Használt lakás,5.48
2010 Q3,Baia Mare,1009.22,248.68,559.78,Új lakás,4.51
2010 Q3,Baia Mare,813.21,282.88,590.05,Új lakás,5.85
2010 Q3,Satu Mare,958.16,286.03,480.7,Új lakás,7.08
2010 Q3,Satu Mare,1045.83,317.2,561.82,Használt lakás,5.24
2010 Q3,Satu Mare,968.91,292.15,495.7,Új lakás,4.96
2010 Q3,Satu Mare,1087.32,302.08,543.96,Új lakás,4.92
2010 Q3,Satu Mare,1009.44,220.07,554.98,Új lakás,5.35
2010 Q3,Botoșani,1119.76,184.15,625.3,Új lakás,4.86
2010 Q3,Botoșani,1132.98,258.4,536.77,Új lakás,3.95
2010 Q3,Botoșani,925.15,376.56,488.56,Felújított lakás,5.22
2010 Q3,Botoșani,1104.41,319.83,509.03,Új lakás,5.36
2010 Q3,Botoșani,1288.41,297.7,512.07,Új lakás,6.05
2010 Q3,Pitești,1132.66,347.48,538.32,Új lakás,3.86
2010 Q3,Pitești,1196.01,254.15,518.16,Új lakás,4.25
2010 Q3,Pitești,992.3,313.15,519.28,Új lakás,5.42
2010 Q3,Pitești,1193.65,318.14,485.35,Felújított lakás,5.96
2010 Q3,Pitești,1142.74,250.9,535.84,Használt lakás,5.7
2010 Q3,Craiova,964.29,355.03,491.0,Felújított lakás,5.13
2010 Q3,Craiova,979.23,300.62,434.22,Felújított lakás,3.56
2010 Q3,Craiova,1191.34,266.12,440.52,Felújított lakás,2.85
2010 Q3,Craiova,923.32,247.08,598.52,Új lakás,6.01
2010 Q3,Craiova,917.42,390.1,558.91,Új lakás,4.68
2010 Q3,Reșița,700.07,391.64,416.63,Használt lakás,3.35
2010 Q3,Reșița,1122.71,397.59,583.06,Használt lakás,5.56
2010 Q3,Reșița,1071.37,334.14,545.54,Új lakás,5.28
2010 Q3,Reșița,1012.5,297.5,454.76,Új lakás,4.72
2010 Q3,Reșița,796.85,296.07,440.68,Használt lakás,3.9
2010 Q3,Slatina,1021.59,355.68,555.1,Felújított lakás,3.43
2010 Q3,Slatina,881.24,337.63,441.05,Felújított lakás,4.78
2010 Q3,Slatina,1066.01,261.27,506.32,Új lakás,3.67
2010 Q3,Slatina,927.84,312.79,404.42,Felújított lakás,5.44
2010 Q3,Slatina,997.64,322.1,513.43,Felújított lakás,6.36
2010 Q4,București,1015.03,282.82,507.34,Felújított lakás,5.54
2010 Q4,București,1005.86,301.62,457.88,Használt lakás,4.34
2010 Q4,București,831.69,369.98,425.37,Felújított lakás,4.31
2010 Q4,București,913.79,335.8,482.3,Használt lakás,6.25
2010 Q4,București,919.18,311.16,449.88,Felújított lakás,7.15
2010 Q4,Cluj-Napoca,857.49,312.39,538.03,Használt lakás,5.41
2010 Q4,Cluj-Napoca,977.77,294.81,502.63,Új lakás,4.85
2010 Q4,Cluj-Napoca,1115.67,388.42,466.55,Felújított lakás,3.63
2010 Q4,Cluj-Napoca,989.41,403.19,451.78,Felújított lakás,6.64
2010 Q4,Cluj-Napoca,1201.32,277.86,534.14,Új lakás,6.63
2010 Q4,Timișoara,954.5,291.86,465.1,Használt lakás,3.99
2010 Q4,Timișoara,922.09,251.04,502.05,Felújított lakás,4.23
2010 Q4,Timișoara,1028.05,237.76,519.85,Felújított lakás,5.83
2010 Q4,Timișoara,760.75,314.96,573.66,Használt lakás,3.79
2010 Q4,Timișoara,1200.71,316.76,457.7,Új lakás,4.94
2010 Q4,Iași,1067.0,303.04,532.33,Új lakás,4.08
2010 Q4,Iași,1020.32,243.45,493.33,Használt lakás,4.1
2010 Q4,Iași,911.74,349.44,565.48,Felújított lakás,5.61
2010 Q4,Iași,868.92,287.34,572.79,Használt lakás,5.14
2010 Q4,Iași,1278.32,315.73,511.52,Új lakás,4.69
2010 Q4,Brașov,1016.02,293.9,542.49,Új lakás,5.96
2010 Q4,Brașov,905.68,246.75,389.83,Használt lakás,5.51
2010 Q4,Brașov,867.6,213.88,523.31,Új lakás,7.49
2010 Q4,Brașov,999.27,333.54,504.91,Használt lakás,4.9
2010 Q4,Brașov,1110.29,288.39,516.04,Használt lakás,5.32
2010 Q4,Constanța,919.83,339.68,489.5,Felújított lakás,4.24
2010 Q4,Constanța,1064.38,264.06,501.69,Használt lakás,4.99
2010 Q4,Constanța,1130.31,318.99,498.5,Új lakás,5.82
2010 Q4,Constanța,1166.82,322.31,500.62,Új lakás,3.69
2010 Q4,Constanța,872.19,287.79,463.43,Új lakás,4.81
2010 Q4,Sibiu,1006.8,321.19,495.77,Új lakás,5.49
2010 Q4,Sibiu,1007.74,220.98,443.64,Felújított lakás,4.86
2010 Q4,Sibiu,854.84,324.0,591.85,Felújított lakás,6.22
2010 Q4,Sibiu,974.39,359.63,508.92,Új lakás,4.66
2010 Q4,Sibiu,926.39,287.9,476.71,Új lakás,5.17
2010 Q4,Oradea,1019.27,300.12,526.22,Használt lakás,6.19
2010 Q4,Oradea,1113.95,240.6,346.76,Használt lakás,5.93
2010 Q4,Oradea,835.97,291.01,429.79,Új lakás,3.2
2010 Q4,Oradea,1064.98,330.37,465.41,Használt lakás,2.41
2010 Q4,Oradea,934.45,315.67,411.27,Új lakás,5.18
2010 Q4,Galați,998.16,323.17,507.17,Új lakás,4.03
2010 Q4,Galați,1143.59,293.66,498.36,Felújított lakás,4.07
2010 Q4,Galați,946.81,264.61,489.62,Új lakás,6.71
2010 Q4,Galați,835.37,235.46,588.27,Új lakás,4.79
2010 Q4,Galați,919.71,341.6,463.66,Felújított lakás,6.83
2010 Q4,Ploiești,1081.35,280.48,629.44,Felújított lakás,4.39
2010 Q4,Ploiești,1089.05,311.97,578.1,Új lakás,6.56
2010 Q4,Ploiești,1003.84,269.86,527.6,Használt lakás,4.32
2010 Q4,Ploiești,1241.61,305.46,478.08,Új lakás,5.18
2010 Q4,Ploiești,838.34,261.14,572.02,Felújított lakás,4.34
2010 Q4,Arad,874.37,321.47,571.14,Felújított lakás,5.72
2010 Q4,Arad,1119.53,269.73,414.69,Felújított lakás,6.5
2010 Q4,Arad,961.28,289.97,579.69,Felújított lakás,5.56
2010 Q4,Arad,1054.71,386.6,461.39,Felújított lakás,5.93
2010 Q4,Arad,1006.84,310.74,591.71,Használt lakás,5.51
2010 Q4,Bacău,1064.6,342.9,478.1,Új lakás,4.16
2010 Q4,Bacău,874.62,221.35,623.37,Használt lakás,3.9
2010 Q4,Bacău,973.45,288.93,518.44,Felújított lakás,5.82
2010 Q4,Bacău,1103.26,276.68,489.97,Új lakás,5.28
2010 Q4,Bacău,970.16,364.29,529.46,Felújított lakás,5.73
2010 Q4,Târgu Mureș,1079.55,346.94,510.86,Használt lakás,3.7
2010 Q4,Târgu Mureș,1047.96,273.95,468.28,Felújított lakás,5.59
2010 Q4,Târgu Mureș,1148.59,300.85,518.53,Használt lakás,6.7
2010 Q4,Târgu Mureș,1028.89,404.07,533.93,Új lakás,3.24
2010 Q4,Târgu Mureș,1090.4,315.25,577.39,Új lakás,5.67
2010 Q4,Baia Mare,983.39,251.03,487.46,Felújított lakás,4.15
2010 Q4,Baia Mare,930.34,323.54,600.19,Használt lakás,5.39
2010 Q4,Baia Mare,856.49,317.78,571.8,Új lakás,4.39
2010 Q4,Baia Mare,983.92,300.59,452.91,Használt lakás,5.65
2010 Q4,Baia Mare,985.49,316.78,446.75,Használt lakás,4.56
2010 Q4,Satu Mare,1086.69,285.09,603.62,Felújított lakás,4.6
2010 Q4,Satu Mare,1026.96,337.3,414.9,Új lakás,3.24
2010 Q4,Satu Mare,816.92,350.5,466.89,Felújított lakás,7.56
2010 Q4,Satu Mare,932.29,307.38,592.53,Használt lakás,7.01
2010 Q4,Satu Mare,1247.38,348.33,561.44,Felújított lakás,5.59
2010 Q4,Botoșani,1093.4,277.95,450.91,Felújított lakás,5.0
2010 Q4,Botoșani,979.58,281.87,541.78,Használt lakás,5.96
2010 Q4,Botoșani,1010.61,359.1,431.5,Használt lakás,4.81
2010 Q4,Botoșani,913.98,225.34,495.04,Új lakás,4.88
2010 Q4,Botoșani,1181.61,325.23,438.55,Felújított lakás,6.85
2010 Q4,Pitești,1146.52,323.28,486.41,Használt lakás,4.04
2010 Q4,Pitești,955.34,343.55,613.08,Új lakás,6.54
2010 Q4,Pitești,941.34,255.22,508.45,Felújított lakás,3.23
2010 Q4,Pitești,1038.78,294.1,472.04,Új lakás,3.41
